Enclosure,Vole ID,Northing,Easting
HD,C01EB86,4378323.637,695614.976
HD,C01EB86,4378335.18,695615.654
HD,C01EB86,4378321.648,695617.936
HD,C01EB86,4378315.652,695614.735
HD,C01EB86,4378324.464,695621.17
HD,C01EB86,4378324.809,695624.21
HD,C01EB86,4378324.723,695624.466
HD,C01EB86,4378320.005,695614.744
HD,C01EB84,4378332.806,695631.646
HD,C01EB84,4378332.737,695632.091
HD,C01EB84,4378332.134,695631.896
HD,C01EB84,4378333.107,695632.252
HD,C01EB84,4378332.181,695631.88
HD,C01EB84,4378331.753,695632.316
HD,C01EB84,4378332.716,695632.986
HD,C01EB84,4378333.394,695633.017
HD,C01EB84,4378333.321,695632.578
HD,C01EB84,4378331.615,695631.973
HD,C01EB84,4378332.127,695631.528
HD,C01EB84,4378332.458,695632.607
HD,C01EB84,4378331.911,695632.641
HD,C01EB84,4378332.343,695632.391
HD,C01EB84,4378332.673,695632.09
HD,C01EB84,4378332.857,695632.157
HD,C01EB84,4378332.73,695632.223
HD,C01EB84,4378332.457,695632.151
HD,C01EB84,4378332.765,695632.15
HD,C01EB84,4378335.325,695631.829
HD,C01EB84,4378332.331,695632.305
HD,C01EB84,4378332.231,695632.141
HD,C01EB84,4378331.326,695632.327
HD,C01EB7C,4378321.154,695622.157
HD,C01EB7C,4378319.952,695616.638
HD,C01EB7C,4378313.845,695614.93
HD,C01EB7C,4378318.258,695621.94
HD,C01EB7C,4378318.161,695620.623
HD,C01EB7C,4378317.601,695619.466
HD,C01EB7C,4378315.664,695613.91
HD,C01EB7C,4378316.317,695623.972
HD,C01EB7C,4378310.317,695616.56
HD,C01EB7C,4378309.732,695616.671
HD,C01EB7C,4378308.252,695616.54
HD,C01EB7C,4378310.209,695614.674
HD,C01EB7A,4378330.96,695640.624
HD,C01EB7A,4378328.607,695640.423
HD,C01EB7A,4378332.794,695639.878
HD,C01EB7A,4378333.924,695637.234
HD,C01EB7A,4378333.733,695640.235
HD,C01EB7A,4378333.965,695641.311
HD,C01EB7A,4378332.159,695639.058
HD,C01EB7A,4378326.373,695635.359
HD,C01EB7A,4378329.344,695639.521
HD,C01EB7A,4378333.604,695639.962
HD,C01EB7A,4378329.245,695639.596
HD,C01EB7A,4378334.645,695637.45
HD,C01EB7A,4378305.883,695628.587
HD,C01EB7A,4378312.828,695630.526
HD,C01EB7A,4378311.676,695625.01
HD,C01EB7A,4378313.316,695626.388
HD,C01EB7A,4378326.172,695634.111
HD,C01EB7A,4378312.911,695626.321
HD,C01EB7A,4378320.553,695628.824
HD,C01EB7A,4378319.495,695627.54
HD,C01EB7A,4378329.124,695640.16
HD,C01EB7A,4378325.146,695640.794
HD,C01EB7A,4378310.467,695628.491
HD,C01EB7A,4378309.828,695628.493
HD,C01EB79,4378335.283,695631.436
HD,C01EB79,4378307.87,695633.235
HD,C01EB79,4378327.72,695627.083
HD,C01EB79,4378334.616,695629.944
HD,C01EB79,4378332.526,695629.652
HD,C01EB79,4378333.375,695626.125
HD,C01EB79,4378331.83,695622.827
HD,C01EB79,4378332.973,695632.626
HD,C01EB79,4378330.856,695632.109
HD,C01EB79,4378335.074,695635.48
HD,C01EB79,4378334.536,695633.78
HD,C01EB79,4378333.377,695633.957
HD,C01EB79,4378318.587,695642.306
HD,C01EB79,4378318.57,695642.081
HD,C01EB79,4378318.168,695642.176
HD,C01EB79,4378334.573,695635.435
HD,C01EB79,4378334.742,695636.643
HD,C01EB79,4378332.981,695631.743
HD,C01EB79,4378335.259,695631.887
HD,C01EB79,4378324.697,695628.454
