Enclosure,Vole ID,Northing,Easting
LD,C01EB93,4378333.738,695600.506
LD,C01EB93,4378334.618,695602.772
LD,C01EB93,4378334.594,695604.801
LD,C01EB93,4378334.059,695605.266
LD,C01EB93,4378332.694,695603.115
LD,C01EB93,4378333.193,695604.863
LD,C01EB93,4378333.562,695605.039
LD,C01EB93,4378333.289,695604.864
LD,C01EB93,4378329.641,695602.122
LD,C01EB93,4378335.292,695600.943
LD,C01EB93,4378334.462,695605.561
LD,C01EB93,4378333.714,695605.585
LD,C01EB93,4378333.588,695604.133
LD,C01EB93,4378333.08,695605.029
LD,C01EB93,4378329.532,695603.784
LD,C01EB93,4378326.91,695605.043
LD,C01EB93,4378332.664,695604.845
LD,C01EB93,4378334.04,695604.833
LD,C01EB93,4378334.417,695607.964
LD,C01EB93,4378333.891,695610.216
LD,C01EB93,4378332.668,695607.427
LD,C01EB93,4378332.875,695603.073
LD,C01EB93,4378332.841,695602.896
LD,C01EB93,4378332.719,695607.778
LD,C01EB8D,4378308.219,695594.819
LD,C01EB8D,4378306.797,695594.441
LD,C01EB8D,4378307.234,695592.533
LD,C01EB8D,4378308.126,695594.757
LD,C01EB8D,4378312.202,695596.309
LD,C01EB8D,4378309.511,695594.914
LD,C01EB8D,4378307.187,695594.533
LD,C01EB8D,4378308.039,695593.308
LD,C01EB8D,4378314.75,695596.92
LD,C01EB8D,4378313.125,695596.282
LD,C01EB8D,4378306.395,695591.016
LD,C01EB8D,4378314.599,695595.727
LD,C01EB8D,4378320.773,695595.504
LD,C01EB8D,4378321.422,695596.089
LD,C01EB8D,4378309.659,695599.599
LD,C01EB8D,4378318.676,695593.802
LD,C01EB8D,4378307.27,695600.845
LD,C01EB8D,4378308.665,695602.722
LD,C01EB8D,4378309.907,695602.262
LD,C01EB8D,4378309.473,695602.359
LD,C01EB8D,4378311.215,695601.175
LD,C01EB8D,4378309.308,695599.428
LD,C01EB8D,4378309.945,695602.66
LD,C01EB8D,4378308.556,695599.306
LD,C01EB81,4378308.503,695602.781
LD,C01EB81,4378312.033,695600.546
LD,C01EB81,4378312.059,695609.395
LD,C01EB81,4378312.325,695603.002
LD,C01EB81,4378318.897,695607.329
LD,C01EB81,4378315.058,695609.357
LD,C01EB81,4378312.013,695602.995
LD,C01EB81,4378308.681,695608.183
LD,C01EB81,4378311.506,695599.762
LD,C01EB81,4378308.819,695594.171
LD,C01EB81,4378309.457,695600.758
LD,C01EB81,4378309.161,695597.308
LD,C01EB81,4378306.968,695602.601
LD,C01EB81,4378308.659,695602.777
LD,C01EB81,4378306.048,695609.589
LD,C01EB81,4378315.032,695596.077
LD,C01EB81,4378311.709,695603.098
LD,C01EB81,4378306.108,695608.466
LD,C01EB81,4378308.779,695608.492
LD,C01EB81,4378309.281,695607.899
LD,C01EB7D,4378315.381,695605.838
LD,C01EB7D,4378316.349,695609.527
LD,C01EB7D,4378320.696,695597.236
LD,C01EB7D,4378314.898,695605.724
LD,C01EB7D,4378315.014,695601.568
LD,C01EB7D,4378311.278,695609.418
LD,C01EB7D,4378306.358,695610.036
LD,C01EB7D,4378310.857,695601.843
LD,C01EB7D,4378317.421,695599.808
LD,C01EB7D,4378309.619,695609.92
LD,C01EB7D,4378308.296,695608.504
LD,C01EB7D,4378308.627,695608.997
LD,C01EB7D,4378321.133,695606.538
LD,C01EB7D,4378309.021,695599.311
LD,C01EB7D,4378315.453,695609.412
LD,C01EB7D,4378316.478,695608.24
LD,C01EB7B,4378314.183,695587.621
LD,C01EB7B,4378306.929,695584.473
LD,C01EB7B,4378314.159,695588.357
LD,C01EB7B,4378307.65,695581.672
LD,C01EB7B,4378313.938,695584.182
LD,C01EB7B,4378310.676,695580.889
LD,C01EB7B,4378309.063,695581.603
LD,C01EB7B,4378306.716,695580.27
LD,C01EB7B,4378310.063,695584.538
LD,C01EB7B,4378313.212,695581.978
LD,C01EB7B,4378309.535,695587.379
LD,C01EB7B,4378309.484,695584.824
LD,C01EB7B,4378311.071,695589.921
LD,C01EB7B,4378311.196,695592.217
LD,C01EB7B,4378310.195,695593.305
LD,C01EB7B,4378308.529,695592.566
LD,C01EB7B,4378306.556,695586.981
LD,C01EB7B,4378307.515,695580.857
